中文术语,英文翻译,领域,添加日期,是否已确认
555定时器,555 timer,电路,2026-03-21,是
AD转换器,analog -digital converter (ADC),电路,2026-03-21,是
DA转换器,digital-analog converter (DAC),电路,2026-03-21,是
D触发器,D flip-flop,电路,2026-03-21,是
J-K触发器,J-K flip-flop,电路,2026-03-21,是
LC振荡器,LC oscillator,电路,2026-03-21,是
NPN型晶体管,NPN transistor,电路,2026-03-21,是
N型半导体,N--type semiconductor,电路,2026-03-21,是
N沟道,n-channel,电路,2026-03-21,是
OCL功率放大器,output capacitorless power amplifier,电路,2026-03-21,是
OTL功率放大器,output transformerless power amplifier,电路,2026-03-21,是
PNP型晶体管,PNP transistor,电路,2026-03-21,是
PN结,PN junction,电路,2026-03-21,是
P型半导体,P-type semiconductor,电路,2026-03-21,是
P沟道,p-channel,电路,2026-03-21,是
RC振荡器,RC oscillator,电路,2026-03-21,是
一阶滤波器,first-order filter,电路,2026-03-21,是
一阶电路,first-order circuit,电路,2026-03-21,是
七段显示器,seven-segment display,电路,2026-03-21,是
三态门,tri-state gate,电路,2026-03-21,是
三相三线制,three-phase three-wire system,电路,2026-03-21,是
三相功率,three-phase power,电路,2026-03-21,是
三相四线制,three-phase four-wire system,电路,2026-03-21,是
三相异步电动机,three-phase asynchronous motor,电路,2026-03-21,是
三相电源,three-phase source,电路,2026-03-21,是
三相电路,three-phase circuit,电路,2026-03-21,是
三要素法,three-factor method,电路,2026-03-21,是
三角形连接,triangular connection(- connection ,delta connection),电路,2026-03-21,是
三角波发生器,triangular wave generator,电路,2026-03-21,是
上升沿,positive edge,电路,2026-03-21,是
上限截止频率,upper cut-off frequency,电路,2026-03-21,是
下降沿,negative edge,电路,2026-03-21,是
下限截止频率,lower cut-off frequency,电路,2026-03-21,是
与门,AND gate,电路,2026-03-21,是
与非门,NAND gate,电路,2026-03-21,是
中心频率,center frequency,电路,2026-03-21,是
中线,neutral line,电路,2026-03-21,是
中间继电器,intermediate relay,电路,2026-03-21,是
串联型稳压电源,series (voltage) regulator,电路,2026-03-21,是
串联谐振,series resonance,电路,2026-03-21,是
串联负反馈,series negative feedback,电路,2026-03-21,是
主从型触发器,master-slave flip-flop,电路,2026-03-21,是
乙类推挽功率放大器,class B push-pull power amplifier,电路,2026-03-21,是
二-十进制,binary coded decimal （BCD）,电路,2026-03-21,是
二极管,diode,电路,2026-03-21,是
二进制,binary,电路,2026-03-21,是
